Title,Studio,Gross,Gross (Adjusted),Year,Millions
Gone with the Wind,MGM,198676459,1796176700,1939,1796.177
Star Wars,Fox,460998007,1583483200,1977,1583.483
The Sound of Music,Fox,158671368,1266072700,1965,1266.073
E.T.: The Extra-Terrestrial,Universal,435110554,1261085000,1982,1261.085
Titanic,Paramount,658672302,1204368000,1997,1204.368
The Ten Commandments,Paramount,65500000,1164590000,1956,1164.59
Jaws,Universal,260000000,1138620700,1975,1138.621
Doctor Zhivago,MGM,111721910,1103564200,1965,1103.564
The Exorcist,Warner Brothers,232906145,983226600,1973,983.227
Snow White and the Seven Dwarves,Disney,184925486,969010000,1937,969.01
