Age,F:M Ratio
0,0.954947426951
1,0.955288639502
2,0.955601073823
3,0.957242010563
4,0.956177480743
5,0.954337764409
6,0.956801314787
7,0.956633029063
8,0.95516133639
9,0.959278353499
10,0.960123140607
11,0.959395931876
12,0.957554101066
13,0.957452623949
14,0.959155360268
15,0.960567116804
16,0.961293188386
17,0.960862047011
18,0.959057441476
19,0.955242136479
20,0.955754077042
21,0.956175020095
22,0.95817420521
23,0.954148021522
24,0.951512926827
25,0.951567016488
26,0.949045727478
27,0.955118181781
28,0.965417847453
29,0.969888577161
30,0.971230293075
31,0.973549166779
32,0.973986622533
33,0.976112210691
34,0.982940106311
35,0.991060249435
36,0.995303390394
37,0.999524106875
38,1.00319071872
39,0.996123310695
40,1.00585685088
41,1.00861852749
42,1.01499201048
43,1.01435329425
44,1.01068014258
45,1.01942917939
46,1.02645550613
47,1.02373603708
48,1.02526654983
49,1.01785639386
50,1.02262295988
51,1.02558421515
52,1.03278643557
53,1.03307858544
54,1.03631607523
55,1.04649777834
56,1.05212404176
57,1.05625309275
58,1.06304621281
59,1.0604202854
60,1.07176433506
61,1.07853740056
62,1.08748656602
63,1.09675723381
64,1.10244486546
65,1.11648409692
66,1.12341949706
67,1.12821164926
68,1.13887409542
69,1.1390975787
70,1.14531228627
71,1.14792410083
72,1.15140948575
73,1.17202827393
74,1.18630835363
75,1.20183094783
76,1.21422152258
77,1.23557601207
78,1.26372653485
79,1.28128569168
80,1.29209276022
81,1.32745254604
82,1.36101421545
83,1.39748836338
84,1.44602739349
85,1.48588452148
86,1.53967021043
87,1.59775217196
88,1.66124886919
89,1.73365456116
90,1.80539169543
91,1.90275318284
92,1.99251997205
93,2.10191945076
94,2.22710121744
95,2.34042004065
96,2.41968900665
97,2.58679586643
98,2.65926177632
99,2.91367497945
100,3.27411383776
